Prime Contract ID,Contract Includes Sub Vendors,Vendor Record Type,Prime Vendor,Prime Vendor M/WBE Category,Prime Contract Purpose,Prime Contract Current Amount,Prime Contract Original Amount,Prime Vendor Spend to Date,Prime Contract Start Date,Prime Contract End Date,Prime Contract Registration Date,Prime Woman Owned Business,Prime Emerging Business,Prime Contracting Agency,OCA Number,Prime Contract Version,FMS Document/Parent Contract ID,Prime Contract Type,Prime Contract Award Method,Prime Contract Expense Category,Prime Contract Industry,Prime Contract PIN,Prime Contract APT PIN,% COVID Spending,% Other Spending,Sub Vendor,Sub Vendor M/WBE Category,Sub Contract Purpose,Subcontract Status,Sub Contract Industry,Sub Contract Current Amount,Sub Contract Original Amount,Sub Vendor Paid to Date,Sub Contract Start Date,Sub Contract End Date,Sub Contract Reference ID,Sub Woman Owned Business,Sub Emerging Business
MMA180620256200076,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ - JOC General Construction @Various Developments,15000000,15000000,0,4/12/2024,4/11/2027,8/5/2024,Yes,No ,Housing Preservation and Development,1015644603,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,PO #2331264 - EMPIRE CONTROL,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200046,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Green Infrastructure Construction Pkg 2 @ Various- BK & QX,9848583.9,9848583.9,0,5/1/2024,5/1/2026,7/31/2024,Yes,No ,Housing Preservation and Development,1015618525,1,-,REQUIREMENTS-CONSTRUCTION,REQUEST FOR  PROPOSAL (RFP),,Construction Services,JRCRUZ-PO2335175,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200016,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ (JOC) Enviro Hazard Remediation @ Various - Citywide,4747623.66,4747623.66,0,1/21/2024,1/20/2025,8/1/2024,Yes,No ,Housing Preservation and Development,1015605284,1,-,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,,Construction Services,MAVEN CONSTR-2113579,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256200001,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,For Green Infrastructure Construction @Various Dev in BK,10480880.9,10480880.9,0,5/1/2024,5/1/2026,8/6/2024,Yes,No ,Housing Preservation and Development,1015602410,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,JRCRUZ CORP - PO#2335177,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256000030,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Contract For Roof work at Various Developments,10000000,10000000,0,5/1/2024,5/1/2027,7/30/2024,Yes,No ,Housing Preservation and Development,1015600040,1,-,CONSTRUCTION,REQUEST FOR  PROPOSAL (RFP),,Construction Services,"WDF,INC - PO#2336312",,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA180620256000015,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Job Order Contract (JOC) for Hazardous Material,1699586.27,1699586.27,0,2/8/2024,2/7/2025,8/12/2024,Yes,No ,Housing Preservation and Development,1015588510,1,-,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,,Construction Services,PO #1924842 - ABATEMENT UNL.,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA107120258802791,no,Prime Vendor,RICHARDS PLUMBING AND HEATING CO INC,Non-M/WBE,RENEWAL FOR ON-CALL PLUMBING SERVICES AT VARIOUS DHS SHELTER,7776318.91,7776318.91,0,2/1/2024,1/31/2027,10/15/2024,No ,No ,Department of Homeless Services,1015840560,1,-,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,,Construction Services,07122B8009KXLR001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA105720258803823,no,Prime Vendor,HIGH POINT CONSTRUCTION GROUP CORP,Asian American,The Fire Department of the City of New York seeks the servic,8443200,8443200,0,2/1/2025,1/31/2030,12/4/2024,No ,No ,Fire Department,,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05724B0004001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA105720258802802,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The Fire Department of the City of New York seeks the servic,9037750,9037750,0,2/1/2025,1/31/2030,11/12/2024,No ,No ,Fire Department,1015898989,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05724B0003001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA105720248805474,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The FDNY seeks the services of a qualified General Contracto,9455750,9455750,0,3/4/2024,3/3/2029,3/1/2024,No ,No ,Fire Department,1015099079,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0013001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA105720248805471,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The FDNY seeks the services of a qualified General Contracto,9155750,9155750,14167.85,3/4/2024,3/3/2029,3/6/2024,No ,No ,Fire Department,1015111086,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0015001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA105720248805470,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The FDNY seeks the services of a qualified General Contracto,9245000,9245000,0,3/4/2024,3/3/2029,3/6/2024,No ,No ,Fire Department,1015108858,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0014001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA105720248804543,no,Prime Vendor,CRESCENT CONTRACTING CORP.,Non-M/WBE,"HVAC and refrigeration preventative maintenance, repair and",10170000,10170000,0,1/1/2024,12/31/2028,1/11/2024,No ,No ,Fire Department,1014965103,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0006001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA105720248804449,no,Prime Vendor,CRESCENT CONTRACTING CORP.,Non-M/WBE,"HVAC and refrigeration preventative maintenance, repair and",10038000,10038000,0,1/1/2024,12/31/2028,1/12/2024,No ,No ,Fire Department,1014951214,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0004001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA105720248804351,no,Prime Vendor,CRESCENT CONTRACTING CORP.,Non-M/WBE,The Fire Department of New York City seeks to contract with,8530400,8530400,0,1/1/2024,12/31/2028,1/4/2024,No ,No ,Fire Department,1014906278,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0007001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA105720248804325,no,Prime Vendor,CRESCENT CONTRACTING CORP.,Non-M/WBE,The Fire Department of New York City seeks to contract with,10170000,10170000,0,1/1/2024,12/31/2028,1/12/2024,No ,No ,Fire Department,1014929876,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0008001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
MMA105720248804248,no,Prime Vendor,CRESCENT CONTRACTING CORP.,Non-M/WBE,The Fire Department of New York City seeks to contract with,8769100,8769100,0,1/1/2024,12/31/2028,12/18/2023,No ,No ,Fire Department,1014881817,1,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Construction Services,05723B0005001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
CTA185020248809334,yes,Sub Vendor,BREITNER CIACCIA OFFICE OF THE ARCHITECTURE,Women (Non-Minority),"Tech Dsgn Svcs for Brooklyn Children's Museum HVAC Upgrade,",0,0,0,7/15/2024,12/19/2027,6/29/2024,Yes,No ,Department of Design and Construction,,1,MMA185020228804770,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,Professional Services,85024Z0154001,8502020VP0041P,0,0,INTERSTATE CONTRACTING CO INC,Hispanic American,Interior Probes and Repairs,No Subcontract Payments Submitted,Construction Services,19000,19000,0,7/15/2024,12/19/2027,010,No ,No 
CTA185020248809334,yes,Sub Vendor,BREITNER CIACCIA OFFICE OF THE ARCHITECTURE,Women (Non-Minority),"Tech Dsgn Svcs for Brooklyn Children's Museum HVAC Upgrade,",0,0,0,7/15/2024,12/19/2027,6/29/2024,Yes,No ,Department of Design and Construction,,1,MMA185020228804770,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,Professional Services,85024Z0154001,8502020VP0041P,0,0,DELTA WELL & PUMP CO INC,Women (Non-Minority),Geothermal Flow testing,No Subcontract Payments Submitted,Construction Services,20000,20000,0,8/6/2024,12/19/2027,009,Yes,No 
CTA185020248807176,yes,Sub Vendor,BREITNER CIACCIA OFFICE OF THE ARCHITECTURE,Women (Non-Minority),TO#003A- Tech Dsgn Svcs for Stone Ave Library Multi-Sys Upg,0,0,0,6/3/2024,11/3/2026,5/9/2024,Yes,No ,Department of Design and Construction,,1,MMA185020228804770,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,Professional Services,85024Z0120001,8502020VP0041P,0,0,CH CO INC,Asian American,Construction Probes,No Subcontract Payments Submitted,Construction Services,20000,20000,0,6/3/2024,11/3/2026,012,No ,No 
CTA185020248807176,yes,Sub Vendor,BREITNER CIACCIA OFFICE OF THE ARCHITECTURE,Women (Non-Minority),TO#003A- Tech Dsgn Svcs for Stone Ave Library Multi-Sys Upg,0,0,0,6/3/2024,11/3/2026,5/9/2024,Yes,No ,Department of Design and Construction,,1,MMA185020228804770,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,Professional Services,85024Z0120001,8502020VP0041P,0,0,INTERSTATE CONTRACTING CO INC,Hispanic American,Exterior / Interior probes,No Subcontract Payments Submitted,Construction Services,15000,15000,0,6/3/2024,11/3/2026,011,No ,No 
CTA185020248807013,yes,Sub Vendor,EPIC MANAGEMENT OF NEW YORK LLC,Non-M/WBE,Consulting Services,0,0,0,5/1/2024,8/7/2024,4/29/2024,No ,No ,Department of Design and Construction,,3,MMA185020238803203,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,PROF SERV ENGINEER & ARCHITECT,Professional Services,85024Z8170KXLA001,,0,0,ELLANA INC,Women (Non-Minority),Estimating,No Subcontract Payments Submitted,Construction Services,8858.17,8858.17,0,5/1/2024,5/30/2024,001,Yes,No 
CTA185020248804857,yes,Sub Vendor,"AI Engineers, Inc.",Asian American,Prel& Final Dsgn Svcs for Non-Standard Ped Ramps,0,0,0,2/28/2024,2/16/2026,1/24/2024,No ,No ,Department of Design and Construction,,2,MMA185020228803347,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,DESIGN-CONSULTANT-IOTB,Professional Services,85023Z0176001,,0,0,"NASCO CONSTRUCTION SERVICES, INC.",Women (Non-Minority),Cost Estimating,No Subcontract Payments Submitted,Construction Services,132000,132000,0,2/28/2024,2/16/2026,001,Yes,No 
CTA185020247203856,yes,Sub Vendor,ZIE-ENOVATE JV,Non-M/WBE,Construction Management Services,0,0,0,1/8/2024,12/31/2024,12/21/2023,No ,No ,Department of Design and Construction,,3,MMA185020238803240,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,PROF SERV ENGINEER & ARCHITECT,Professional Services,85024Z8054KXLA001,,0,0,Zircon Group Inc,Asian American,Test pits,No Subcontract Payments Submitted,Construction Services,35000,35000,0,1/8/2024,10/3/2024,003,No ,No 
CTA184620258801231,no,Prime Vendor,FRIENDS OF THE HIGH LINE INC,Non-M/WBE,High Line Reconstruction,1849997,1849997,424797,7/1/2024,7/1/2025,8/5/2024,No ,No ,Department of Parks and Recreation,1015642781,1,MMA184620248803695,CONSTRUCTION,MULTIPLE AWARDS,IOTB CONSTRUCTION,Construction Services,84625Z0001001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0,0,0,12/3/2024,6/3/2028,11/12/2024,No ,No ,Department of Parks and Recreation,,1,MMA184620248805432,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,Standardized Services,84623S0011001,,0,0,ARCHITECTURAL PRESERVATION STUDIO DPC,Women (Non-Minority),Design Consultant,No Subcontract Payments Submitted,Construction Services,258700,258700,0,12/3/2024,6/3/2026,008,Yes,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0,0,0,12/3/2024,6/3/2028,11/12/2024,No ,No ,Department of Parks and Recreation,,1,MMA184620248805432,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,Standardized Services,84623S0011001,,0,0,JLC ENVIROMENTAL CONSULTANTS INC,Women (Non-Minority),Environmental Engineering,No Subcontract Payments Submitted,Construction Services,11880,11880,0,12/3/2024,6/3/2028,005,Yes,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0,0,0,12/3/2024,6/3/2028,11/12/2024,No ,No ,Department of Parks and Recreation,,1,MMA184620248805432,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,Standardized Services,84623S0011001,,0,0,LANGAN ENG ENV SURVEYING & LANDSCAPE ARCHITECTURE  DPC,Non-M/WBE,Tree Inventory,ACCO Reviewing Subcontract,Construction Services,6050,6050,0,12/3/2024,6/3/2028,006,No ,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0,0,0,12/3/2024,6/3/2028,11/12/2024,No ,No ,Department of Parks and Recreation,,1,MMA184620248805432,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,Standardized Services,84623S0011001,,0,0,QUALITY RESTORATION WORK LLC,Non-M/WBE,Probes,ACCO Reviewing Subcontract,Construction Services,31625,31625,0,12/3/2024,6/3/2028,002,No ,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0,0,0,12/3/2024,6/3/2028,11/12/2024,No ,No ,Department of Parks and Recreation,,1,MMA184620248805432,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,Standardized Services,84623S0011001,,0,0,"JABLONSKI BUILDING CONSERVATION, INC.",Women (Non-Minority),Material analysis,No Subcontract Payments Submitted,Construction Services,18365,18365,0,12/3/2024,6/3/2028,003,Yes,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0,0,0,12/3/2024,6/3/2028,11/12/2024,No ,No ,Department of Parks and Recreation,,1,MMA184620248805432,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,Standardized Services,84623S0011001,,0,0,METROPOLIS GROUP INC,Non-M/WBE,Expeditor,ACCO Reviewing Subcontract,Construction Services,6400,6400,0,12/3/2024,6/3/2028,004,No ,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0,0,0,12/3/2024,6/3/2028,11/12/2024,No ,No ,Department of Parks and Recreation,,1,MMA184620248805432,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,Standardized Services,84623S0011001,,0,0,ARCHITECTURAL PRESERVATION STUDIO DPC,Women (Non-Minority),Design Consultant,ACCO Reviewing Subcontract,Construction Services,258720,258720,0,12/3/2024,6/3/2028,001,Yes,No 
CTA184120257200331,yes,Prime Vendor,"TREVCON CONSTRUCTION COMPANY, LLC",Non-M/WBE,Slip 1 Upper Bridge Rope Replacement W/O #5,660338.8,660338.8,90090,7/22/2024,6/12/2025,8/12/2024,No ,No ,Department of Transportation,1015665903,1,MMA184120228805039,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,MAINT & OPER OF INFRASTRUCTURE,Construction Services,84115MBSI898,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,No ,No 
CTA184120257200331,yes,Sub Vendor,"TREVCON CONSTRUCTION COMPANY, LLC",Non-M/WBE,Slip 1 Upper Bridge Rope Replacement W/O #5,0,0,0,7/22/2024,6/12/2025,8/12/2024,No ,No ,Department of Transportation,,1,MMA184120228805039,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,MAINT & OPER OF INFRASTRUCTURE,Construction Services,84115MBSI898,,0,0,ACME INDUSTRIAL INC.,Non-M/WBE,Replacement & repair of lift bridge wire ropes,ACCO Reviewing Subcontract,Construction Services,429000,429000,0,9/15/2024,6/12/2025,001,No ,No 
CTA184120247208221,no,Prime Vendor,BOVE INDUSTRIES INC,Non-M/WBE,Weigh-In-Motion (WIM): BQE Corridor-WB/SB-Adams St.,4891282.8,4891282.8,3962937.81,7/2/2024,1/2/2025,6/25/2024,No ,No ,Department of Transportation,1015753330,3,MMA184120228806452,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,"IOTB CONSTRUCTION, PROF SERV COMPUTER SERVICES",Construction Services,84121B00190010,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
CTA184120247207696,no,Prime Vendor,BOVE INDUSTRIES INC,Non-M/WBE,W &W:-Structural Minor Rehab-BQE Atlantic Ave. &Sands,140000,140000,119861.99,4/8/2024,4/28/2024,6/10/2024,No ,No ,Department of Transportation,1015753265,2,MMA184120228806452,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONTRACTUAL SERVICES GENERAL,Construction Services,84121B00190010,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
CTA182620247205761,no,Prime Vendor,NEW YORK POWER AUTHORITY,Non-M/WBE,Engine & Main Substation  Replacement,10175814.48,10175814.48,4228210.85,4/4/2024,2/3/2029,3/13/2024,No ,No ,Department of Environmental Protection,1015173483,1,MMA182620196200331,CONSTRUCTION,MULTIPLE AWARDS,DESIGN-CONSULTANT-IOTB,Construction Services,82618T0003001A001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
CTA182620247205418,no,Prime Vendor,NEW YORK POWER AUTHORITY,Non-M/WBE,Engine & Main Substation  Replacement,1037437.11,1037437.11,0,3/5/2024,5/27/2029,2/16/2024,No ,No ,Department of Environmental Protection,1015121666,1,MMA182620196200331,CONSTRUCTION,MULTIPLE AWARDS,DESIGN-CONSULTANT-IOTB,Construction Services,82618T0003001A001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
CTA182620247205417,no,Prime Vendor,NEW YORK POWER AUTHORITY,Non-M/WBE,Engine & Main Substation  Replacement,8397677.78,8397677.78,0,3/5/2024,3/1/2030,3/6/2024,No ,No ,Department of Environmental Protection,1015121554,1,MMA182620196200331,CONSTRUCTION,MULTIPLE AWARDS,DESIGN-CONSULTANT-IOTB,Construction Services,82618T0003001A001,,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,,,Not Applicable,Not Applicable,Not Applicable
